ac_number,constituency,winner_2021,party_2021,votes_2021,runner_up_votes_2021,margin_2021,reserved_2021,region_2021,year_2021,winner_2026,party_2026,votes_2026,runner_up_votes_2026,margin_2026,reserved_2026,region_2026,year_2026,flipped,from_to
2,Ponneri,DURAI. CHANDRASEKAR,INC,94528,84839,9689,SC,Chennai Metro,2021,DR.RAVI.M.S,TVK,110439,54671,55768,SC,Chennai Metro,2026,True,INC → TVK
3,Tiruttani,S.Chandran,DMK,120314,91061,29253,GEN,Chennai Metro,2021,G.HARI,AIADMK,89169,83376,5793,GEN,Chennai Metro,2026,True,DMK → AIADMK
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,107709,85008,22701,GEN,Chennai Metro,2021,DR. T. ARUNKUMAR,TVK,92190,67430,24760,GEN,Chennai Metro,2026,True,DMK → TVK
5,Poonamallee,Krishnaswamy A,DMK,149578,55468,94110,SC,Chennai Metro,2021,PRAKASAM.R,TVK,161309,88569,72740,SC,Chennai Metro,2026,True,DMK → TVK
6,Avadi,Nasar S M,DMK,150287,95012,55275,GEN,Chennai Metro,2021,R.RAMESH KUMAR,TVK,180384,104073,76311,GEN,Chennai Metro,2026,True,DMK → TVK
7,Maduravoyal,GANAPATHY.K,DMK,121298,89577,31721,GEN,Chennai Metro,2021,RHEVANTH CHARAN,TVK,141725,80216,61509,GEN,Chennai Metro,2026,True,DMK → TVK
8,Ambattur,JOSEPH SAMUEL,DMK,114554,72408,42146,GEN,Chennai Metro,2021,BALAMURUGAN.G,TVK,133339,74558,58781,GEN,Chennai Metro,2026,True,DMK → TVK
9,Madavaram,SUDHARSANAM. S,DMK,151485,94414,57071,GEN,Chennai Metro,2021,M.L.VIJAYPRABHU,TVK,190462,95477,94985,GEN,Chennai Metro,2026,True,DMK → TVK
10,Thiruvottiyur,K.P.SHANKAR,DMK,88185,50524,37661,GEN,Chennai Metro,2021,SENTHIL KUMAR. N,TVK,110067,56503,53564,GEN,Chennai Metro,2026,True,DMK → TVK
12,Perambur,SHEKAR. R.D,DMK,105267,50291,54976,GEN,Chennai Metro,2021,C. JOSEPH VIJAY,TVK,120365,66650,53715,GEN,Chennai Metro,2026,True,DMK → TVK
13,Kolathur,M.K. STALIN,DMK,105522,35138,70384,GEN,Chennai Metro,2021,V. S. BABU,TVK,82997,74202,8795,GEN,Chennai Metro,2026,True,DMK → TVK
14,Villivakkam,A . Vetriazhagan,DMK,76127,38890,37237,GEN,Chennai Metro,2021,AADHAV ARJUNA,TVK,66445,49143,17302,GEN,Chennai Metro,2026,True,DMK → TVK
15,Thiru-Vi-Ka-Nagar,SIVAKUMAR.P,DMK,81727,26714,55013,SC,Chennai Metro,2021,M. R. PALLAVI,TVK,69125,46792,22333,SC,Chennai Metro,2026,True,DMK → TVK
16,Egmore,I.PARANTHAMEN,DMK,68832,30064,38768,SC,Chennai Metro,2021,RAJMOHAN,TVK,53901,43097,10804,SC,Chennai Metro,2026,True,DMK → TVK
17,Royapuram,MURTHY.R.IDREAM,DMK,64424,36645,27779,GEN,Chennai Metro,2021,K.V. VIJAY DAMU,TVK,59091,44842,14249,GEN,Chennai Metro,2026,True,DMK → TVK
18,Harbour,SEKARBABU. P.K,DMK,59317,32043,27274,GEN,Chennai Metro,2021,P K SEKARBABU,DMK,45254,33504,11750,GEN,Chennai Metro,2026,False,DMK → DMK
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,93285,23930,69355,GEN,Chennai Metro,2021,UDHAYANIDHI STALIN,DMK,62992,55852,7140,GEN,Chennai Metro,2026,False,DMK → DMK
20,Thousand Lights,EZHILAN N,DMK,71867,39405,32462,GEN,Chennai Metro,2021,PRABHAKAR.J.C.D,TVK,58965,43824,15141,GEN,Chennai Metro,2026,True,DMK → TVK
21,Anna Nagar,M.K. Mohan,DMK,80054,52609,27445,GEN,Chennai Metro,2021,V.K.RAMKUMAR,TVK,71375,50012,21363,GEN,Chennai Metro,2026,True,DMK → TVK
22,Virugampakkam,AMV.PRABHAKARA RAJA,DMK,74351,55984,18367,GEN,Chennai Metro,2021,SABARINATHAN.R,TVK,76092,49006,27086,GEN,Chennai Metro,2026,True,DMK → TVK
23,Saidapet,SUBRAMANIAN. MA,DMK,80194,50786,29408,GEN,Chennai Metro,2021,ARUL PRAKASAM. M,TVK,81205,52691,28514,GEN,Chennai Metro,2026,True,DMK → TVK
25,Mylapore,VELU.DHA,DMK,68392,55759,12633,GEN,Chennai Metro,2021,VENKATARAMANAN. P,TVK,70070,41098,28972,GEN,Chennai Metro,2026,True,DMK → TVK
26,Velachery,JMH.AASSAN MAULAANA,INC,68493,64141,4352,GEN,Chennai Metro,2021,KUMAR. R,TVK,80430,47125,33305,GEN,Chennai Metro,2026,True,INC → TVK
