ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year
1,Gummidipundi,GOVINDARAJAN T.J,DMK,126452,75514,50938,GEN,Chennai Metro,2021
2,Ponneri,DURAI. CHANDRASEKAR,INC,94528,84839,9689,SC,Chennai Metro,2021
3,Tiruttani,S.Chandran,DMK,120314,91061,29253,GEN,Chennai Metro,2021
4,Thiruvallur,"RAAJENDRAN, V.G.",DMK,107709,85008,22701,GEN,Chennai Metro,2021
5,Poonamallee,Krishnaswamy A,DMK,149578,55468,94110,SC,Chennai Metro,2021
6,Avadi,Nasar S M,DMK,150287,95012,55275,GEN,Chennai Metro,2021
7,Maduravoyal,GANAPATHY.K,DMK,121298,89577,31721,GEN,Chennai Metro,2021
8,Ambattur,JOSEPH SAMUEL,DMK,114554,72408,42146,GEN,Chennai Metro,2021
9,Madavaram,SUDHARSANAM. S,DMK,151485,94414,57071,GEN,Chennai Metro,2021
10,Thiruvottiyur,K.P.SHANKAR,DMK,88185,50524,37661,GEN,Chennai Metro,2021
11,Dr. Radhakrishnan Nagar,EBENEZER. J.J. (@)  JOHN EBENEZER.J,DMK,95763,53284,42479,GEN,Chennai Metro,2021
12,Perambur,SHEKAR. R.D,DMK,105267,50291,54976,GEN,Chennai Metro,2021
13,Kolathur,M.K. STALIN,DMK,105522,35138,70384,GEN,Chennai Metro,2021
14,Villivakkam,A . Vetriazhagan,DMK,76127,38890,37237,GEN,Chennai Metro,2021
15,Thiru-Vi-Ka-Nagar,SIVAKUMAR.P,DMK,81727,26714,55013,SC,Chennai Metro,2021
16,Egmore,I.PARANTHAMEN,DMK,68832,30064,38768,SC,Chennai Metro,2021
17,Royapuram,MURTHY.R.IDREAM,DMK,64424,36645,27779,GEN,Chennai Metro,2021
18,Harbour,SEKARBABU. P.K,DMK,59317,32043,27274,GEN,Chennai Metro,2021
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,93285,23930,69355,GEN,Chennai Metro,2021
