ac_number,constituency,winner,party,votes,runner_up_votes,margin,reserved,region,year,margin_category
1,Gummidipoondi,S.VIJAYAKUMAR,TVK,94320,66375,27945,GEN,Chennai Metro,2026,20-50k
2,Ponneri,DR.RAVI.M.S,TVK,110439,54671,55768,SC,Chennai Metro,2026,>50k
3,Tiruttani,G.HARI,AIADMK,89169,83376,5793,GEN,Chennai Metro,2026,5-10k
4,Thiruvallur,DR. T. ARUNKUMAR,TVK,92190,67430,24760,GEN,Chennai Metro,2026,20-50k
5,Poonamallee,PRAKASAM.R,TVK,161309,88569,72740,SC,Chennai Metro,2026,>50k
6,Avadi,R.RAMESH KUMAR,TVK,180384,104073,76311,GEN,Chennai Metro,2026,>50k
7,Maduravoyal,RHEVANTH CHARAN,TVK,141725,80216,61509,GEN,Chennai Metro,2026,>50k
8,Ambattur,BALAMURUGAN.G,TVK,133339,74558,58781,GEN,Chennai Metro,2026,>50k
9,Madavaram,M.L.VIJAYPRABHU,TVK,190462,95477,94985,GEN,Chennai Metro,2026,>50k
10,Thiruvottiyur,SENTHIL KUMAR. N,TVK,110067,56503,53564,GEN,Chennai Metro,2026,>50k
11,Dr.Radhakrishnan Nagar,N. MARIE WILSON,TVK,97800,48132,49668,GEN,Chennai Metro,2026,20-50k
12,Perambur,C. JOSEPH VIJAY,TVK,120365,66650,53715,GEN,Chennai Metro,2026,>50k
13,Kolathur,V. S. BABU,TVK,82997,74202,8795,GEN,Chennai Metro,2026,5-10k
14,Villivakkam,AADHAV ARJUNA,TVK,66445,49143,17302,GEN,Chennai Metro,2026,10-20k
15,Thiru-Vi-Ka-Nagar,M. R. PALLAVI,TVK,69125,46792,22333,SC,Chennai Metro,2026,20-50k
16,Egmore,RAJMOHAN,TVK,53901,43097,10804,SC,Chennai Metro,2026,10-20k
17,Royapuram,K.V. VIJAY DAMU,TVK,59091,44842,14249,GEN,Chennai Metro,2026,10-20k
18,Harbour,P K SEKARBABU,DMK,45254,33504,11750,GEN,Chennai Metro,2026,10-20k
19,Chepauk-Thiruvallikeni,UDHAYANIDHI STALIN,DMK,62992,55852,7140,GEN,Chennai Metro,2026,5-10k
20,Thousand Lights,PRABHAKAR.J.C.D,TVK,58965,43824,15141,GEN,Chennai Metro,2026,10-20k
21,Anna Nagar,V.K.RAMKUMAR,TVK,71375,50012,21363,GEN,Chennai Metro,2026,20-50k
22,Virugampakkam,SABARINATHAN.R,TVK,76092,49006,27086,GEN,Chennai Metro,2026,20-50k
23,Saidapet,ARUL PRAKASAM. M,TVK,81205,52691,28514,GEN,Chennai Metro,2026,20-50k
24,Thiyagarayanagar,ANAND N,TVK,51632,38605,13027,GEN,Chennai Metro,2026,10-20k
25,Mylapore,VENKATARAMANAN. P,TVK,70070,41098,28972,GEN,Chennai Metro,2026,20-50k
26,Velachery,KUMAR. R,TVK,80430,47125,33305,GEN,Chennai Metro,2026,20-50k
27,Shozhinganallur,ECR P SARAVANAN,TVK,220382,123602,96780,GEN,Chennai Metro,2026,>50k
28,Alandur,M.HARISH,TVK,112205,82596,29609,GEN,Chennai Metro,2026,20-50k
29,Sriperumbudur,THENNARASU.K,TVK,147611,93365,54246,SC,Chennai Metro,2026,>50k
30,Pallavaram,J.KAMATCHI,TVK,133611,78918,54693,GEN,Chennai Metro,2026,>50k
31,Tambaram,D.SARATHKUMAR,TVK,118967,83346,35621,GEN,Chennai Metro,2026,20-50k
32,Chengalpattu,S. THIYAGARAJAN,TVK,137136,101495,35641,GEN,Chennai Metro,2026,20-50k
33,Thiruporur,B.VIJAYARAJ,TVK,110095,70744,39351,GEN,North,2026,20-50k
34,Cheyyur,RAJASEKAR. E,AIADMK,63809,58141,5668,SC,North,2026,5-10k
35,Madurantakam,MARAGATHAM KUMARAVEL.K,AIADMK,69284,62090,7194,SC,North,2026,5-10k
36,Uthiramerur,MUNIRATHINAM.J,TVK,84917,70694,14223,GEN,North,2026,10-20k
37,Kancheepuram,R.V. RANJITHKUMAR,TVK,91350,75862,15488,GEN,North,2026,10-20k
38,Arakkonam,V. GANDHIRAJ,TVK,73776,50655,23121,SC,North,2026,20-50k
39,Sholingur,G.KAPIL,TVK,84506,78820,5686,GEN,North,2026,5-10k
40,Katpadi,DR M SUDHAKAR,TVK,69868,63998,5870,GEN,North,2026,5-10k
41,Ranipet,THAHIRA,TVK,91149,85362,5787,GEN,North,2026,5-10k
42,Arcot,S.M.SUKUMAR,AIADMK,105608,62888,42720,GEN,North,2026,20-50k
43,Vellore,M.M.VINOTH KANNAN,TVK,73032,66255,6777,GEN,North,2026,5-10k
44,Anaikattu,D.VELAZHAGAN,AIADMK,76302,69221,7081,GEN,North,2026,5-10k
45,Kilvaithinankuppam,THENRAL KUMAR. E,TVK,74305,54050,20255,SC,North,2026,20-50k
46,Gudiyattam,K.SINDU,TVK,82858,72761,10097,SC,North,2026,10-20k
47,Vaniyambadi,SYED FAROOQ BASHA SSB,IUML,73181,70199,2982,GEN,North,2026,<5k
48,Ambur,VILWANATHAN. A.C.,DMK,74102,66971,7131,GEN,North,2026,5-10k
49,Jolarpet,VEERAMANI K.C.,AIADMK,78633,62550,16083,GEN,North,2026,10-20k
50,Tiruppattur,DR.THIRUPATHI. N,TVK,105098,56835,48263,GEN,North,2026,20-50k
51,Uthangarai,N ELAIYARAJA,TVK,70201,65003,5198,SC,North,2026,5-10k
52,Bargur,E.C. GOVINDARASAN,AIADMK,71240,66999,4241,GEN,North,2026,<5k
53,Krishnagiri,MUKUNDHAN.P,TVK,89374,70530,18844,GEN,North,2026,10-20k
54,Veppanahalli,SRINIVASAN.P.S,DMK,74691,74553,138,GEN,North,2026,<5k
55,Hosur,BALAKRISHNAREDDY. P,AIADMK,109867,82064,27803,GEN,North,2026,20-50k
56,Thalli,RAMACHANDRAN. T,CPI,78283,73043,5240,GEN,North,2026,5-10k
57,Palacodu,ANBALAGAN. K.P.,AIADMK,102807,63765,39042,GEN,North,2026,20-50k
58,Pennagaram,GAJENDRAN. S.,TVK,81240,78075,3165,GEN,North,2026,<5k
59,Dharmapuri,SOWMIYA ANBUMANI,PMK,93713,72817,20896,GEN,North,2026,20-50k
60,Pappireddipatti,MARAGATHAM VETRIVEL,AIADMK,101829,68715,33114,GEN,North,2026,20-50k
61,Harur,SAMPATHKUMAR. V,AIADMK,75523,72194,3329,SC,North,2026,<5k
62,Chengam,S.VELU,AIADMK,87802,74524,13278,SC,North,2026,10-20k
63,Tiruvannamalai,VELU. E.V,DMK,88273,85818,2455,GEN,North,2026,<5k
64,Kilpennathur,RAMACHANDRAN.S,AIADMK,90503,60038,30465,GEN,North,2026,20-50k
65,Kalasapakkam,AGRI KRISHNAMURTHY. S S,AIADMK,89629,62889,26740,GEN,North,2026,20-50k
66,Polur,ABISHEK. R,TVK,67961,67734,227,GEN,North,2026,<5k
67,Arani,JAYASUDHA. L,AIADMK,76735,71104,5631,GEN,North,2026,5-10k
68,Cheyyar,MUKKUR N. SUBRAMANIAN,AIADMK,86680,65599,21081,GEN,North,2026,20-50k
69,Vandavasi,AMBETHKUMAR. S,DMK,63805,60472,3333,SC,North,2026,<5k
70,Gingee,GANESHKUMAR A,PMK,78201,65556,12645,GEN,Central,2026,10-20k
71,Mailam,SHANMUGAM C VE,AIADMK,82353,52312,30041,GEN,Central,2026,20-50k
72,Tindivanam,VANNI ARASU,VCK,63833,63099,734,SC,Central,2026,<5k
73,Vanur,GOWTHAM D,DMK,68873,61839,7034,SC,Central,2026,5-10k
74,Viluppuram,LAKSHMANAN R,DMK,72982,68863,4119,GEN,Central,2026,<5k
75,Vikravandi,SIVAKUMAR C,PMK,69727,68817,910,GEN,Central,2026,<5k
76,Tirukkoyilur,PALANISAMY S,AIADMK,73033,72748,285,GEN,Central,2026,<5k
77,Ulundurpettai,VASANTHAVEL G R,DMK,98471,96194,2277,GEN,Central,2026,<5k
78,Rishivandiyam,KARTHIKEYAN K,DMK,89711,84849,4862,GEN,Central,2026,<5k
79,Sankarapuram,RAKESH R,AIADMK,80250,76810,3440,GEN,Central,2026,<5k
80,Kallakurichi,ARUL VIGNESH C,TVK,81132,80334,798,SC,Central,2026,<5k
81,Gangavalli,NALLATHAMBI. A,AIADMK,73167,58763,14404,SC,Central,2026,10-20k
82,Attur,JAYASANKARAN. A.P.,AIADMK,80843,65525,15318,SC,Central,2026,10-20k
83,Yercaud,USHARANI. P,AIADMK,87772,85583,2189,ST,Central,2026,<5k
84,Omalur,MANI. R,AIADMK,112246,97707,14539,GEN,Central,2026,10-20k
85,Mettur,VENKATACHALAM. G,AIADMK,86498,67393,19105,GEN,Central,2026,10-20k
86,Edappadi,EDAPPADI PALANISWAMI. K,AIADMK,148933,50823,98110,GEN,Central,2026,>50k
87,Sankari,VETRIVEL. S,AIADMK,87342,77825,9517,GEN,Central,2026,5-10k
88,Salem (West),LAKSHMANAN.S,TVK,120407,45540,74867,GEN,Central,2026,>50k
89,Salem (North),SIVAKUMAR. K,TVK,85710,71676,14034,GEN,Central,2026,10-20k
90,Salem (South),VIJAY TAMILAN PARTHIBAN. A,TVK,91371,58002,33369,GEN,Central,2026,20-50k
91,Veerapandi,PALANIVEL. M.S,TVK,79907,75836,4071,GEN,Central,2026,<5k
92,Rasipuram,LOGESH TAMILSELVAN D,TVK,74808,60297,14511,SC,Central,2026,10-20k
93,Senthamangalam,P CHANDRASEKAR,TVK,68815,66160,2655,ST,Central,2026,<5k
94,Namakkal,DILIP C S,TVK,79744,68736,11008,GEN,Central,2026,10-20k
95,Paramathi-Velur,SEKAR S,AIADMK,61349,61041,308,GEN,Central,2026,<5k
96,Tiruchengodu,ARUNRAJ K G,TVK,79500,51328,28172,GEN,Central,2026,20-50k
97,Kumarapalayam,C.VIJAYALAKSHMI,TVK,81179,73483,7696,GEN,Central,2026,5-10k
